"Dist.Code","Dist.Name","State.Name","Cluster"
159,"Pali","Rajasthan",5
160,"Swami Madhopur","Rajasthan",3
162,"Sirohi","Rajasthan",3
163,"Tonk","Rajasthan",5
164,"Udaipur","Rajasthan",5
165,"Gurdaspur","Punjab",1
166,"Amritsar","Punjab",5
167,"Kapurthala","Punjab",5
168,"Jalandhar","Punjab",5
169,"Hoshiarpur","Punjab",3
170,"Roopnagar","Punjab",3
171,"Ludhiana","Punjab",5
172,"Ferozpur","Punjab",5
173,"Faridkot","Punjab",5
174,"Bhatinda","Punjab",5
175,"Sangrur","Punjab",5
176,"Patiala","Punjab",5
177,"Hissar","Haryana",5
178,"Sirsa","Haryana",5
179,"Bhiwani","Haryana",5
180,"Gurgaon","Haryana",5
181,"Jind","Haryana",5
183,"Ambala","Haryana",3
184,"Karnal","Haryana",5
185,"Kurukshetra","Haryana",5
186,"Rohtak","Haryana",5
187,"Sonepat","Haryana",5
188,"Faridabad","Haryana",5
189,"Saharanpur","Uttar Pradesh",1
190,"Muzaffarnagar","Uttar Pradesh",3
191,"Meerut","Uttar Pradesh",3
192,"Buland Shahar","Uttar Pradesh",3
193,"Ghaziabad","Uttar Pradesh",3
194,"Aligarh","Uttar Pradesh",3
195,"Mathura","Uttar Pradesh",5
196,"Agra","Uttar Pradesh",5
197,"Mainpuri","Uttar Pradesh",5
198,"Etah","Uttar Pradesh",5
199,"Bareilly","Uttar Pradesh",3
200,"Budaun","Uttar Pradesh",3
201,"Moradabad","Uttar Pradesh",3
202,"Shahjahanpur","Uttar Pradesh",3
203,"Pilibhit","Uttar Pradesh",1
204,"Rampur","Uttar Pradesh",3
205,"Bijnor","Uttar Pradesh",1
206,"Farrukhabad","Uttar Pradesh",5
207,"Etawah","Uttar Pradesh",3
209,"Fatehpur","Uttar Pradesh",3
210,"Allahabad","Uttar Pradesh",3
211,"Jhansi","Uttar Pradesh",3
212,"Lalitpur","Uttar Pradesh",1
213,"Jalaun","Uttar Pradesh",3
215,"Banda","Uttar Pradesh",3
216,"Varanasi","Uttar Pradesh",3
217,"Mirzpur","Uttar Pradesh",3
218,"Jaunpur","Uttar Pradesh",3
219,"Ghazipur","Uttar Pradesh",3
220,"Ballia","Uttar Pradesh",3
221,"Gorakhpur","Uttar Pradesh",1
222,"Deoria","Uttar Pradesh",1
223,"Basti","Uttar Pradesh",1
224,"Azamgarh","Uttar Pradesh",3
225,"Lucknow","Uttar Pradesh",3
226,"Unnao","Uttar Pradesh",3
227,"Rae - Bareily","Uttar Pradesh",3
228,"Sitapur","Uttar Pradesh",3
229,"Hardoi","Uttar Pradesh",3
230,"Kheri","Uttar Pradesh",1
231,"Faizabad","Uttar Pradesh",3
232,"Gonda","Uttar Pradesh",3
233,"Bahraich","Uttar Pradesh",3
234,"Sultanpur","Uttar Pradesh",3
235,"Pratapgarh","Uttar Pradesh",1
236,"Barabanki","Uttar Pradesh",3
237,"Nainital","Uttarakhand",2
238,"Almorah","Uttarakhand",2
239,"Pithorgarh","Uttarakhand",2
240,"Chamoli","Uttarakhand",2
241,"Uttar Kashi","Uttarakhand",2
242,"Tehri Garhwal","Uttarakhand",2
243,"Garhwal","Uttarakhand",2
244,"Dehradun","Uttarakhand",2
501,"Rajnandgaon","Chhattisgarh",1
502,"Bhopal","Madhya Pradesh",1
503,"Vizianagaram","Andhra Pradesh",3
504,"Prakasam","Andhra Pradesh",4
506,"Dharmapuri","Tamil Nadu",4
507,"Periyar(Erode)","Tamil Nadu",4
508,"Pudukkottai","Tamil Nadu",4
509,"Dindigul Anna","Tamil Nadu",4
510,"Virudhunagar Kamarajar","Tamil Nadu",6
512,"Sivagangai Pasumpon","Tamil Nadu",4
513,"Chidambanar Toothukudi","Tamil Nadu",6
514,"Jalna","Maharashtra",5
515,"Latur","Maharashtra",3
516,"Gadchiroli","Maharashtra",1
517,"Sindhudurg","Maharashtra",2
518,"Gandhinagar","Gujarat",3
519,"Dholpur","Rajasthan",3
520,"Rangareddy","Telangana",3
521,"Thiruvannamalai","Tamil Nadu",4
523,"Yamunanagar","Haryana",1
524,"Kaithal","Haryana",5
525,"Panipat","Haryana",5
526,"Rewari","Haryana",5
527,"Haridwar","Uttarakhand",1
528,"Firozabad","Uttar Pradesh",3
529,"Sonbhadra","Uttar Pradesh",3
530,"Mau","Uttar Pradesh",3
531,"Mahrajgani","Uttar Pradesh",1
532,"Sidharthnagar","Uttar Pradesh",1
533,"Mahoba","Uttar Pradesh",3
536,"Baran","Rajasthan",1
537,"Dausa","Rajasthan",5
538,"Rajsamand","Rajasthan",5
539,"Hanumangarh","Rajasthan",5
542,"Nagapattinam","Tamil Nadu",6
543,"Villupuram","Tamil Nadu",4
545,"Mansa","Punjab",5
546,"Fatehgarh Sahib","Punjab",5
547,"Kanpur Nagar","Uttar Pradesh",3
548,"Kanpur Dehat","Uttar Pradesh",5
549,"Bangalore(Rural)","Karnataka",4
550,"Bangalore(Urban)","Karnataka",4
601,"Cachar","Assam",2
602,"Darrang","Assam",1
603,"Dibrugarh","Assam",2
604,"Goalpara","Assam",2
605,"Kamrup","Assam",2
606,"Karbi Anglong","Assam",2
607,"Lakhimpur","Assam",2
608,"North Cachar Hil","Assam",2
609,"Nagaon","Assam",1
610,"Sibsagar","Assam",2
615,"Barpeta","Assam",2
616,"Dhubri","Assam",2
617,"Golaghat","Assam",2
618,"Jorhat","Assam",2
619,"Karimganj","Assam",2
620,"Kokrajhar","Assam",2
621,"Nalbari","Assam",2
622,"Sonitpur","Assam",2
626,"Bilashpur","Himachal Pradesh",1
627,"Chamba","Himachal Pradesh",1
628,"Hamirpur","Himachal Pradesh",3
629,"Kangra","Himachal Pradesh",2
630,"Kinnaur","Himachal Pradesh",3
631,"Kullu","Himachal Pradesh",3
633,"Solan","Himachal Pradesh",1
634,"Mandi","Himachal Pradesh",1
635,"Shimla","Himachal Pradesh",1
636,"Sirmaur","Himachal Pradesh",2
637,"Una","Himachal Pradesh",1
651,"Alappuzha","Kerala",2
652,"Kannur","Kerala",2
653,"Eranakulam","Kerala",2
654,"Idukki","Kerala",2
655,"Kottayam","Kerala",2
656,"Kozhikode","Kerala",2
657,"Malappuram","Kerala",2
658,"Palakkad","Kerala",2
659,"Kollam","Kerala",2
660,"Thrissur","Kerala",2
661,"Thiruvananthapuram","Kerala",2
662,"Kasaragod","Kerala",2
663,"Pathanamthitta","Kerala",2
664,"Wayanad","Kerala",2
701,"Balasore","Orissa",1
702,"Bolangir","Orissa",1
703,"Cuttack","Orissa",1
704,"Dhenkanal","Orissa",1
705,"Ganjam","Orissa",1
