Dist Code,Year,Dist Name,State Name,RICE AREA (1000 ha),RICE YIELD (kg per ha),nitrogen,phosphate,potash,prec_grow,prec_harvest,et_grow,et_harvest,maxT_grow,maxT_harvest,minT_grow,minT_harvest,runoff_grow,runoff_harvest,windspeed_grow,windspeed_harvest
523,1990,Yamunanagar,Haryana,43.9,3121.0,1970.5997864476385,454.5840492813141,52.59346201232032,261.36199999999997,36.72,100.984,41.480000000000004,32.728,23.799999999999997,23.082,9.08,144.58999999999997,1.835,1.3584,0.765
523,1991,Yamunanagar,Haryana,41.5,3133.0,2352.922176591376,597.6613552361397,70.57897330595482,161.796,25.474999999999998,99.40599999999999,37.185,33.384,23.314999999999998,22.938000000000002,8.709999999999999,48.209999999999994,1.275,1.5012,0.7384999999999999
523,1992,Yamunanagar,Haryana,45.0,3000.0,1998.1108829568789,531.1958932238193,39.39671457905544,173.82600000000002,18.075,97.67800000000001,34.645,32.686,24.075,22.702,9.06,57.484,0.905,1.3718,0.4565
523,1993,Yamunanagar,Haryana,47.4,2932.0,2575.052205338809,523.3894373716632,0.7942176591375769,197.462,0.38,110.81199999999998,22.995,32.906000000000006,25.005,23.392,9.095,72.848,0.005,1.3841999999999999,0.737
523,1994,Yamunanagar,Haryana,49.0,3347.0,2611.2754004106773,548.4458316221766,45.36172484599589,226.25799999999998,6.14,98.022,24.965,32.67,23.995,23.160000000000004,9.73,114.732,0.295,1.4100000000000001,0.6505000000000001
523,1995,Yamunanagar,Haryana,47.0,2915.0,2959.8766324435323,425.6520739219713,41.54143737166324,265.028,6.055000000000001,99.752,27.485,33.24400000000001,23.415,23.756,9.555,152.80999999999997,0.3,1.5974,1.028
523,1996,Yamunanagar,Haryana,47.0,3362.0,3552.285092402464,472.70611909650927,41.54143737166324,236.83,0.03,125.71,28.869999999999997,32.525999999999996,23.805,23.356,8.08,86.2,0.0,1.438,0.5435
523,1997,Yamunanagar,Haryana,54.3,3094.0,3844.7209774127314,840.9118767967145,77.33568788501026,228.914,43.775,116.732,43.114999999999995,32.294,20.4,22.486,9.290000000000001,85.24600000000001,4.575,1.1184,0.44199999999999995
523,1998,Yamunanagar,Haryana,58.0,2241.0,4377.11112936345,1071.1968788501028,73.8588911704312,248.686,7.185,112.65,33.175,32.836,23.9,23.946,8.805,111.10799999999999,0.36,1.1144,0.437
523,1999,Yamunanagar,Haryana,54.8,2920.0,4084.195613963039,1057.547728952772,72.76809856262832,181.778,2.23,111.76199999999999,30.105,33.336,25.205,23.742,9.59,48.64000000000001,0.1,1.1179999999999999,0.541
