"Dist Code","Year","State Code","State Name","Dist Name","JUNE ACTUAL (Millimeters)","JULY ACTUAL (Millimeters)","AUGUST ACTUAL (Millimeters)","SEPTEMBER ACTUAL (Millimeters)","OCTOBER ACTUAL (Millimeters)","NOVEMBER ACTUAL (Millimeters)","DECEMBER ACTUAL (Millimeters)"
"1","2010","14","Chhattisgarh","Durg","136.37","111.68","107.58","111.41","88.22","55.82","41.43"
"1","2011","14","Chhattisgarh","Durg","175.8","115.62","105.63","111.5","72.92","45.98","31.91"
"1","2012","14","Chhattisgarh","Durg","113.73","113.55","108.08","111.89","75.64","47.43","33.37"
"1","2013","14","Chhattisgarh","Durg","161.09","111.14","105.81","111.71","113.95","54.94","40.48"
"1","2014","14","Chhattisgarh","Durg","107.06","115.49","109.01","111.06","81.06","47.61","34.03"
"1","2015","14","Chhattisgarh","Durg","160.21","114.2","109.31","112.99","77.14","47.67","34.0"
"2","1958","14","Chhattisgarh","Bastar","80.25","115.02","110.24","111.14","113.28","70.16","46.91"
"2","1959","14","Chhattisgarh","Bastar","158.65","113.89","109.58","111.29","110.75","57.28","45.57"
"2","1960","14","Chhattisgarh","Bastar","159.23","114.0","114.08","112.03","108.17","58.59","48.28"
"2","1961","14","Chhattisgarh","Bastar","154.84","112.25","109.86","109.7","110.47","64.7","45.97"
"2","1962","14","Chhattisgarh","Bastar","123.5","114.2","109.82","110.09","98.94","58.69","60.9"
"2","1963","14","Chhattisgarh","Bastar","146.12","114.55","109.39","113.59","113.44","59.51","45.12"
"2","1964","14","Chhattisgarh","Bastar","127.5","114.8","109.19","109.8","110.02","63.2","45.97"
"2","1965","14","Chhattisgarh","Bastar","118.58","116.37","111.45","111.7","77.78","48.6","38.62"
"2","1966","14","Chhattisgarh","Bastar","121.91","116.36","110.91","112.67","85.4","64.39","47.49"
"2","1967","14","Chhattisgarh","Bastar","160.81","115.02","110.0","110.87","77.84","48.19","76.62"
"2","1968","14","Chhattisgarh","Bastar","146.56","115.61","107.21","111.01","100.27","62.46","45.96"
"2","1969","14","Chhattisgarh","Bastar","139.69","113.95","110.7","109.97","97.0","70.12","71.52"
"2","1970","14","Chhattisgarh","Bastar","148.39","114.39","108.72","110.95","81.42","48.66","34.08"
"2","1971","14","Chhattisgarh","Bastar","150.55","115.63","110.23","110.75","100.8","53.59","41.86"
"2","1972","14","Chhattisgarh","Bastar","141.48","118.91","112.15","111.34","100.48","73.34","51.99"
"2","1973","14","Chhattisgarh","Bastar","163.07","116.59","110.46","112.33","112.3","59.89","45.56"
"2","1974","14","Chhattisgarh","Bastar","159.64","117.97","111.8","111.95","112.67","65.91","45.32"
"2","1975","14","Chhattisgarh","Bastar","158.99","113.4","110.38","108.48","112.85","61.15","43.47"
"2","1976","14","Chhattisgarh","Bastar","91.12","112.88","109.83","110.83","78.4","71.3","40.4"
"2","1977","14","Chhattisgarh","Bastar","152.7","114.98","109.54","110.54","89.52","83.74","50.44"
"2","1978","14","Chhattisgarh","Bastar","154.84","112.34","108.2","110.88","87.43","65.65","42.02"
"2","1979","14","Chhattisgarh","Bastar","160.49","117.98","112.09","111.46","94.93","67.03","48.02"
"2","1980","14","Chhattisgarh","Bastar","151.43","114.57","109.42","111.38","85.88","54.84","41.62"
"2","1981","14","Chhattisgarh","Bastar","159.49","115.18","110.54","111.12","86.65","52.5","40.34"
"2","1982","14","Chhattisgarh","Bastar","153.29","117.55","110.76","111.3","104.59","65.01","45.23"
"2","1983","14","Chhattisgarh","Bastar","159.97","115.89","110.58","109.77","105.34","58.17","48.25"
"2","1984","14","Chhattisgarh","Bastar","155.52","113.77","111.31","110.73","89.88","52.6","40.95"
"2","1985","14","Chhattisgarh","Bastar","156.36","113.09","110.42","110.64","110.59","59.92","49.31"
"2","1986","14","Chhattisgarh","Bastar","154.54","116.41","110.55","112.76","84.48","72.36","50.13"
"2","1987","14","Chhattisgarh","Bastar","113.56","116.27","111.62","109.51","96.69","63.26","43.79"
"2","1988","14","Chhattisgarh","Bastar","134.44","113.24","110.02","110.72","84.75","54.36","41.18"
"2","1989","14","Chhattisgarh","Bastar","152.59","114.13","110.25","110.7","79.45","49.57","36.32"
"2","1990","14","Chhattisgarh","Bastar","148.75","114.35","110.59","111.27","111.35","69.33","52.85"
"2","1991","14","Chhattisgarh","Bastar","152.64","115.02","110.61","112.36","101.17","76.86","47.46"
"2","1992","14","Chhattisgarh","Bastar","129.76","116.51","109.27","111.11","89.19","66.86","40.36"
"2","1993","14","Chhattisgarh","Bastar","140.03","116.31","111.72","111.32","115.4","60.67","45.92"
"2","1994","14","Chhattisgarh","Bastar","116.69","113.29","109.16","111.59","109.08","65.14","44.73"
"2","1995","14","Chhattisgarh","Bastar","139.08","115.51","113.56","113.39","117.75","66.32","47.14"
"2","1996","14","Chhattisgarh","Bastar","161.87","116.51","111.21","112.78","98.58","57.95","44.09"
"2","1997","14","Chhattisgarh","Bastar","64.34","117.78","112.01","111.44","80.07","76.92","62.55"
"2","1998","14","Chhattisgarh","Bastar","140.22","115.27","112.48","111.85","115.94","86.36","50.33"
"2","1999","14","Chhattisgarh","Bastar","155.27","116.65","108.98","110.98","100.73","55.33","40.4"
"2","2000","14","Chhattisgarh","Bastar","150.19","114.14","109.23","112.25","82.9","49.75","34.16"
"2","2001","14","Chhattisgarh","Bastar","150.54","114.12","108.82","110.19","103.34","72.19","45.14"
"2","2002","14","Chhattisgarh","Bastar","152.76","121.69","107.69","103.16","81.79","47.03","34.13"
"2","2003","14","Chhattisgarh","Bastar","65.34","114.19","110.86","110.8","111.27","57.64","68.53"
"2","2004","14","Chhattisgarh","Bastar","155.08","115.11","110.36","110.64","107.89","57.34","43.28"
"2","2005","14","Chhattisgarh","Bastar","134.17","114.37","110.3","110.63","112.31","56.49","43.85"
"2","2006","14","Chhattisgarh","Bastar","103.14","117.06","110.46","109.89","80.03","76.57","41.67"
"2","2007","14","Chhattisgarh","Bastar","154.87","116.1","110.58","109.61","100.79","55.2","46.19"
"2","2008","14","Chhattisgarh","Bastar","150.95","115.75","109.57","109.05","75.43","49.88","34.15"
"2","2009","14","Chhattisgarh","Bastar","81.86","112.46","111.52","114.07","88.7","57.12","39.46"
"2","2010","14","Chhattisgarh","Bastar","157.95","111.57","111.01","109.1","110.74","80.58","56.52"
"2","2011","14","Chhattisgarh","Bastar","89.13","114.85","108.79","108.56","73.08","45.71","32.16"
"2","2012","14","Chhattisgarh","Bastar","119.69","112.71","109.41","109.62","87.09","59.96","40.63"
"2","2013","14","Chhattisgarh","Bastar","148.0","111.61","111.69","111.27","112.51","59.54","44.1"
"2","2014","14","Chhattisgarh","Bastar","112.45","118.33","111.63","110.45","98.91","55.19","40.7"
"2","2015","14","Chhattisgarh","Bastar","147.25","118.48","112.5","111.79","78.1","48.95","35.54"
"3","1958","14","Chhattisgarh","Raipur","110.78","113.39","107.5","111.6","102.46","60.07","40.59"
"3","1959","14","Chhattisgarh","Raipur","173.65","112.8","105.73","111.3","97.34","52.39","40.73"
"3","1960","14","Chhattisgarh","Raipur","174.67","112.5","110.86","112.07","95.31","54.4","41.15"
"3","1961","14","Chhattisgarh","Raipur","175.21","111.06","107.44","112.67","101.02","53.64","43.72"
"3","1962","14","Chhattisgarh","Raipur","99.93","112.32","107.27","110.81","72.65","48.01","58.65"
"3","1963","14","Chhattisgarh","Raipur","174.7","113.31","106.02","111.89","102.22","55.62","41.16"
"3","1964","14","Chhattisgarh","Raipur","161.5","112.61","104.64","109.55","88.9","54.49","39.36"
"3","1965","14","Chhattisgarh","Raipur","171.2","114.85","108.78","110.8","76.29","48.69","36.85"
"3","1966","14","Chhattisgarh","Raipur","132.13","115.71","107.99","113.22","77.95","56.44","45.95"
"3","1967","14","Chhattisgarh","Raipur","173.79","113.42","107.49","111.43","74.17","48.11","67.39"
"3","1968","14","Chhattisgarh","Raipur","146.02","114.24","111.15","110.89","78.27","48.86","37.8"
"3","1969","14","Chhattisgarh","Raipur","97.57","112.16","109.14","110.17","74.06","51.1","44.25"
"3","1970","14","Chhattisgarh","Raipur","158.23","113.8","105.34","110.44","72.7","46.0","32.84"
"3","1971","14","Chhattisgarh","Raipur","162.67","115.38","107.75","111.19","103.43","52.84","41.76"
"3","1972","14","Chhattisgarh","Raipur","121.71","117.07","111.0","111.39","78.61","50.68","40.17"
"3","1973","14","Chhattisgarh","Raipur","111.46","115.16","107.6","112.57","113.05","56.36","43.49"
"3","1974","14","Chhattisgarh","Raipur","166.93","115.29","108.29","101.54","113.91","57.91","41.89"
"3","1975","14","Chhattisgarh","Raipur","171.37","111.74","107.85","108.71","112.43","55.63","40.84"
"3","1976","14","Chhattisgarh","Raipur","97.19","111.97","106.76","111.94","73.44","51.52","35.52"
"3","1977","14","Chhattisgarh","Raipur","172.35","113.77","107.62","110.77","83.38","57.92","41.16"
"3","1978","14","Chhattisgarh","Raipur","171.08","110.62","104.89","110.73","77.64","52.55","44.23"
"3","1979","14","Chhattisgarh","Raipur","171.77","115.4","109.6","112.83","82.62","54.01","38.3"
"3","1980","14","Chhattisgarh","Raipur","165.78","113.5","107.41","111.5","74.59","49.6","40.59"
"3","1981","14","Chhattisgarh","Raipur","173.21","114.16","107.98","111.92","80.27","49.37","39.97"
"3","1982","14","Chhattisgarh","Raipur","166.89","117.79","109.44","111.74","86.36","53.02","38.52"
"3","1983","14","Chhattisgarh","Raipur","167.46","115.64","109.27","110.93","93.46","52.78","42.8"
"3","1984","14","Chhattisgarh","Raipur","128.44","111.8","110.35","100.75","80.51","46.6","35.97"
"3","1985","14","Chhattisgarh","Raipur","174.55","112.47","108.57","111.55","113.72","57.24","44.9"
"3","1986","14","Chhattisgarh","Raipur","171.14","114.72","107.54","113.68","78.34","50.7","45.24"
"3","1987","14","Chhattisgarh","Raipur","104.42","117.71","110.28","116.83","86.89","54.7","39.58"
"3","1988","14","Chhattisgarh","Raipur","169.42","111.68","107.08","111.63","80.44","49.48","37.27"
"3","1989","14","Chhattisgarh","Raipur","170.51","112.74","107.69","110.0","76.13","48.9","41.79"
"3","1990","14","Chhattisgarh","Raipur","161.59","113.41","106.6","111.26","100.81","58.82","45.83"
"3","1991","14","Chhattisgarh","Raipur","168.02","115.12","109.15","112.93","80.85","51.96","39.73"
"3","1992","14","Chhattisgarh","Raipur","96.34","115.8","106.89","110.89","81.7","51.09","35.09"
"3","1993","14","Chhattisgarh","Raipur","155.9","116.13","111.31","113.16","97.08","54.46","40.13"
"3","1994","14","Chhattisgarh","Raipur","174.98","112.4","107.28","112.88","101.14","55.92","40.31"
"3","1995","14","Chhattisgarh","Raipur","121.63","116.81","112.57","114.03","98.9","58.77","41.78"
"3","1996","14","Chhattisgarh","Raipur","142.4","116.87","109.1","114.34","88.33","52.99","39.02"
"3","1997","14","Chhattisgarh","Raipur","78.21","117.43","110.29","111.86","85.75","56.98","57.01"
"3","1998","14","Chhattisgarh","Raipur","131.11","115.2","109.69","112.32","103.12","60.75","39.2"
"3","1999","14","Chhattisgarh","Raipur","156.47","118.02","108.17","112.87","96.58","53.58","38.77"
"3","2000","14","Chhattisgarh","Raipur","162.85","114.0","109.39","113.17","77.84","49.1","33.9"
"3","2001","14","Chhattisgarh","Raipur","158.87","114.09","107.41","112.31","100.02","57.17","39.38"
"3","2002","14","Chhattisgarh","Raipur","167.05","122.07","106.16","111.12","80.69","49.5","36.96"
"3","2003","14","Chhattisgarh","Raipur","138.31","113.17","106.46","108.23","104.05","54.17","52.82"
"3","2004","14","Chhattisgarh","Raipur","170.64","111.97","109.75","111.48","83.05","49.79","36.45"
"3","2005","14","Chhattisgarh","Raipur","163.03","112.98","110.28","112.15","101.31","51.91","40.55"
"3","2006","14","Chhattisgarh","Raipur","126.39","118.56","109.1","111.96","73.57","49.74","34.86"
"3","2007","14","Chhattisgarh","Raipur","174.48","116.22","107.88","109.88","78.07","47.87","37.57"
"3","2008","14","Chhattisgarh","Raipur","170.44","117.91","108.97","111.34","77.54","49.21","35.23"
"3","2009","14","Chhattisgarh","Raipur","95.2","115.54","108.8","115.19","85.12","52.56","38.54"
"3","2010","14","Chhattisgarh","Raipur","144.97","111.36","107.32","110.58","88.29","56.36","44.34"
"3","2011","14","Chhattisgarh","Raipur","174.4","115.08","105.71","110.46","73.13","46.83","33.8"
