"Dist Code","Year","State Code","State Name","Dist Name","JANUARY RAINFALL (Millimeters)","FEBRUARY RAINFALL (Millimeters)","MARCH RAINFALL (Millimeters)","APRIL RAINFALL (Millimeters)","MAY RAINFALL (Millimeters)","JUNE RAINFALL (Millimeters)","JULY RAINFALL (Millimeters)","AUGUST RAINFALL (Millimeters)","SEPTEMBER RAINFALL (Millimeters)","OCTOBER RAINFALL (Millimeters)","NOVEMBER RAINFALL (Millimeters)","DECEMBER RAINFALL (Millimeters)","ANNUAL RAINFALL (Millimeters)"
"1","1990","14","Chhattisgarh","Durg","0.0","11.6","0.0","0.0","129.4","305.8","174.9","251.1","305.5","131.4","0.0","0.0","1309.7"
"1","1991","14","Chhattisgarh","Durg","0.0","0.0","18.4","0.0","0.0","156.4","260.5","260.1","41.5","23.0","0.0","5.0","764.9"
"1","1992","14","Chhattisgarh","Durg","0.0","0.0","5.0","0.0","0.0","65.2","401.9","361.7","-1.0","-1.0","-1.0","0.0","923.2"
"1","1993","14","Chhattisgarh","Durg","0.0","1.0","11.0","0.0","0.0","203.9","275.5","172.5","127.0","97.3","-1.0","-1.0","887.7"
"1","1994","14","Chhattisgarh","Durg","0.0","1.0","0.0","0.0","3.0","214.1","536.4","361.5","273.0","73.9","0.0","0.0","1462.9"
"1","1995","14","Chhattisgarh","Durg","0.0","24.8","0.0","0.0","0.0","66.7","592.8","365.0","169.1","132.2","0.0","0.0","1350.6"
"1","1996","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","0.0","72.5","333.8","563.0","232.5","87.9","0.0","0.0","1289.7"
"1","1997","14","Chhattisgarh","Durg","2.0","0.0","0.0","46.0","0.0","244.7","643.0","420.4","121.5","15.5","13.0","80.6","1586.7"
"1","1998","14","Chhattisgarh","Durg","50.0","10.0","25.5","0.0","26.0","237.5","263.5","198.5","366.0","52.0","84.5","0.0","1313.5"
"1","1999","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","31.8","284.0","326.1","547.4","434.2","142.5","0.0","0.0","1766.0"
"1","2002","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0","-1.0","183.6","107.0","328.7","113.1","50.0","-1.0","-1.0","-1.0"
"1","2004","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","0.0","291.8","306.4","300.5","85.9","13.3","0.0","0.0","997.9"
"1","2005","14","Chhattisgarh","Durg","3.5","6.2","29.3","98.2","326.0","236.4","353.5","48.2","0.0","2.6","0.0","0.0","1103.9"
