Cluster,N_SMAPE_slr,P_SMAPE_slr,K_SMAPE_slr
1,66.24780762821962,69.84166583940028,96.76506865390678
2,73.44683103368574,77.44922163070993,92.64681812643613
3,43.09589055608327,46.63677212676801,88.54480388448819
4,49.23681788912834,51.51174318398994,60.14437653566195
5,41.243149630232736,40.243464564914596,98.11234756929238
6,43.4173448790376,40.92971223308884,61.19786012700571
