Cluster,N_SMAPE_rfr,P_SMAPE_rfr,K_SMAPE_rfr
1,63.3958747706963,67.84121261062566,96.1626938786034
2,72.89279901119612,75.89223079886402,91.78601723719638
3,43.581841108560496,46.31153385888862,85.74740487291474
4,47.10544317152637,50.26189649972397,59.53128853281295
5,40.92589511286265,39.67141311715898,94.21074004790773
6,40.05172413248673,36.410575453673125,53.21843730743748
