Cluster,N_SMAPE_svr,P_SMAPE_svr,K_SMAPE_svr
1,60.75330918715179,67.06279745471596,87.20887976797873
2,65.36663244117032,66.48399622161469,80.41064403101949
3,41.31846782160033,45.15678014633027,79.69378114762887
4,44.7849277322405,50.029965218847124,55.3163511711352
5,41.32878940120439,39.11793453593279,87.89758809985852
6,42.31012746667705,37.91282985816501,55.3974790153391
